choice_time,element,entry,entry_name,id_x,index,league,pick,player_first_name,player_last_name,round,seconds_to_pick,was_auto,id_y,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team,position_points_rank,pick_order,position_pick_order,points_vs_position_pick,points_vs_position_pick_rank,all_players_position_points_rank,all_players_points_vs_position_pick,all_players_points_vs_position_pick_rank
,,,,,,,,,,,,,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.478927Z,0.0,0.0,438098,150,0,,,0,Fábio,0.0,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,,,0.0,Ferreira Vieira,,u,0,Fábio Vieira,683,310,682,310,680,308,683,310,,,,,,,,,,,3,1,,,,,,230.0,,
2024-08-13T19:40:31.989875Z,2,184679.0,Kernowfornia United,3320871.0,36.0,48142.0,9.0,Scott,Renfree-Tuck,4.0,,False,2,0,0,36,1,63.6,2,0,17.1,26.6,243,0,0,0,0,0,82.0,4,2,0.87,0.12,0.99,2.44,2024-07-17T10:20:02.483728Z,100.0,100.0,205651,35,0,,,1,Gabriel,0.8,False,,2024-08-25T11:00:05.312580Z,,,0.8,Fernando de Jesus,,a,9,G.Jesus,378,37,227,28,171,33,298,32,,,,,,,,,,,4,1,23.0,36.0,11.0,-12.0,24.0,37.0,-26.0,24.0
2024-08-13T19:35:34.351939Z,3,317751.0,Some Solanke-Panky?,3320858.0,23.0,48142.0,5.0,Alex,Turnbull,3.0,,False,3,1,4,210,4,68.2,13,3,59.7,313.4,1088,0,0,0,0,0,215.0,1,13,1.76,0.50,2.26,12.50,2024-07-17T10:20:02.484838Z,75.0,75.0,226597,74,0,,,0,Gabriel,3.4,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,,,4.6,dos Santos Magalhães,,d,60,Gabriel,46,14,216,55,58,2,85,14,,,,,,,,,,,2,1,3.0,23.0,5.0,2.0,18.0,3.0,2.0,12.0
2024-08-13T19:33:38.154723Z,4,317751.0,Some Solanke-Panky?,3320849.0,14.0,48142.0,5.0,Alex,Turnbull,2.0,,False,4,2,7,208,4,160.0,15,5,87.8,280.8,1243,0,0,0,0,0,437.0,2,14,5.75,1.16,6.91,13.85,2024-07-17T10:20:02.485835Z,100.0,100.0,219847,12,0,,,5,Kai,2.8,False,,2024-11-07T09:00:07.112803Z,,,4.2,Havertz,,a,59,Havertz,73,12,112,9,11,4,29,7,,,,,,,,,,,4,1,9.0,14.0,5.0,-4.0,16.0,13.0,-8.0,16.0
,,,,,,,,,,,,,5,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.487533Z,0.0,0.0,463748,615,0,,,0,Karl,0.0,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,,,0.0,Hein,,u,0,Hein,511,58,491,37,455,27,513,58,,,,,,,,,,,1,1,,,,,,35.0,,
,,,,,,,,,,,,,6,1,2,167,4,168.8,10,1,48.3,178.0,1040,0,0,0,0,0,139.0,3,12,0.67,0.46,1.13,10.05,2024-07-17T10:20:02.488628Z,100.0,100.0,445122,155,0,,,2,Jurriën,5.0,False,,2024-10-04T13:30:05.569185Z,,,3.6,Timber,,a,47,J.Timber,170,67,101,21,103,9,128,33,,,,,,,,,,,2,1,,,,,,16.0,,
,,,,,,,,,,,,,7,0,0,54,1,45.6,4,0,7.6,27.2,363,0,0,0,0,0,3.0,3,5,0.04,0.29,0.33,2.92,2024-07-17T10:20:02.489795Z,,,85955,253,0,,,2,Jorge Luiz,1.0,False,,,,,1.3,Frello Filho,,a,9,Jorginho,374,175,272,167,378,202,358,178,,,,,,,,,,,3,1,,,,,,165.0,,
,,,,,,,,,,,,,8,0,0,39,1,13.7,5,0,6.3,49.2,323,0,0,0,0,0,0.0,0,2,0.00,0.03,0.03,4.45,2024-07-17T10:20:02.491720Z,,,440854,225,0,,,2,Jakub,2.0,False,,,,,1.6,Kiwior,,a,13,Kiwior,338,117,346,112,639,228,376,124,,,,,,,,,,,2,1,,,,,,97.0,,
2024-08-13T19:52:16.536685Z,9,318371.0,Up the Ding,3320901.0,66.0,48142.0,3.0,Matthew,Stent,8.0,,False,9,2,4,159,4,177.4,9,3,69.1,210.0,778,0,0,0,0,0,304.0,1,9,2.18,1.86,4.04,8.78,2024-07-17T10:20:02.493120Z,100.0,100.0,444145,32,0,,,0,Gabriel,2.2,False,,2024-10-18T16:00:06.884775Z,,,3.8,Martinelli Silva,,a,50,Martinelli,134,48,92,70,35,20,57,35,,,,,,,,,,,3,1,17.0,66.0,27.0,10.0,13.0,28.0,-1.0,14.0
,,,,,,,,,,,,,10,1,2,143,1,223.9,9,1,55.1,131.6,483,0,0,0,0,0,195.0,1,5,1.07,0.96,2.03,6.13,2024-07-17T10:20:02.494252Z,25.0,0.0,200641,287,0,,,0,Reiss,1.8,False,Hamstring injury - 25% chance of playing,2024-12-05T00:30:07.571778Z,,,2.2,Nelson,,d,27,Nelson,222,92,64,50,66,40,97,58,,,,,,,,,,,3,9,,,,,,90.0,,
,,,,,,,,,,,,,11,0,0,63,1,85.0,8,0,29.3,48.4,515,0,0,0,0,0,162.0,2,6,1.02,0.39,1.41,7.90,2024-07-17T10:20:02.495166Z,100.0,100.0,205533,87,0,,,0,Eddie,0.5,False,,2024-11-08T15:00:07.256448Z,,,1.4,Nketiah,,a,14,Nketiah,339,33,194,24,94,28,224,28,,,,,,,,,,,4,7,,,,,,34.0,,
,,,,,,,,,,,,,12,0,0,49,0,29.2,0,1,12.3,52.6,76,0,0,0,0,0,41.0,0,0,0.15,0.19,0.34,0.71,2024-07-17T10:20:02.495977Z,,,499175,506,0,,,1,Ethan,1.6,False,,,,,1.6,Nwaneri,,a,13,Nwaneri,335,159,303,178,250,140,323,159,,,,,,,,,,,3,1,,,,,,147.0,,
2024-08-13T19:32:02.370154Z,13,184585.0,Easy Three Points,3320845.0,10.0,48142.0,1.0,Jonathan,Ako,2.0,,False,13,2,3,153,4,297.8,5,1,59.9,167.0,664,0,0,0,0,0,133.0,1,8,1.77,1.95,3.72,5.66,2024-07-17T10:20:02.496744Z,100.0,100.0,184029,9,0,,,2,Martin,5.2,False,,2024-09-10T00:30:06.311550Z,,,4.1,Ødegaard,,a,33,Ødegaard,180,71,35,29,114,74,83,51,,,,,,,,,,,3,1,30.0,10.0,5.0,-25.0,44.0,71.0,-66.0,36.0
,,,,,,,,,,,,,14,0,2,102,1,0.0,19,0,26.2,261.6,810,0,0,0,0,36,0.0,1,9,0.00,0.01,0.01,20.33,2024-07-17T10:20:02.500197Z,0.0,0.0,225321,470,0,,,0,Aaron,0.0,False,Hand injury - Expected back 22 Dec,2024-11-12T14:30:07.315514Z,,,2.9,Ramsdale,,i,26,Ramsdale,85,15,555,58,532,50,243,15,,,,,,,,,,,1,17,,,,,,19.0,,
2024-08-13T19:47:32.794230Z,15,184679.0,Kernowfornia United,3320889.0,54.0,48142.0,9.0,Scott,Renfree-Tuck,6.0,,False,15,0,6,212,5,0.0,15,0,34.8,347.2,1350,0,0,0,0,40,0.0,2,15,0.00,0.01,0.01,14.18,2024-07-17T10:20:02.501613Z,100.0,100.0,154561,101,0,,,2,David,3.6,False,,2024-09-25T21:30:06.211210Z,,,3.9,Raya Martin,,a,58,Raya,30,10,685,72,683,72,191,11,,,,,,,,,,,1,1,2.0,54.0,4.0,2.0,6.0,3.0,1.0,6.0
2024-08-13T19:49:27.758654Z,16,317751.0,Some Solanke-Panky?,3320894.0,59.0,48142.0,5.0,Alex,Turnbull,7.0,,False,16,2,2,190,3,362.7,15,0,68.7,215.2,1102,0,0,0,1,0,114.0,3,13,0.94,2.36,3.30,11.15,2024-07-17T10:20:02.502666Z,100.0,100.0,204480,40,0,,,2,Declan,2.6,False,,2024-11-07T09:00:07.142642Z,,,2.3,Rice,,a,30,Rice,130,45,20,17,129,83,59,37,,,,,,,,,,,3,1,33.0,59.0,24.0,-9.0,31.0,78.0,-54.0,30.0
2024-08-13T19:31:24.954430Z,17,318371.0,Up the Ding,3320842.0,7.0,48142.0,7.0,Matthew,Stent,1.0,,False,17,11,16,409,5,580.6,12,5,163.6,493.4,1155,0,0,0,0,0,563.0,3,14,3.84,5.04,8.88,9.69,2024-07-17T10:20:02.503729Z,100.0,100.0,223340,4,0,,,2,Bukayo,7.6,True,,2024-11-10T23:00:07.191683Z,,,7.4,Saka,,a,103,Saka,6,4,1,1,4,2,3,3,,,,,,,,,,,3,1,3.0,7.0,3.0,0.0,20.0,3.0,0.0,11.0
2024-08-13T19:35:30.082920Z,18,283372.0,CripplingHannover96,3320857.0,22.0,48142.0,4.0,Ryan,McIntyre,3.0,,False,18,0,5,228,5,43.6,13,2,42.1,292.2,1199,0,0,0,1,0,83.0,2,14,1.88,0.62,2.50,11.54,2024-07-17T10:20:02.504650Z,100.0,100.0,462424,73,0,,,9,William,6.8,False,,2024-10-19T19:30:06.564445Z,,,3.9,Saliba,,a,55,Saliba,61,20,276,78,170,34,147,38,,,,,,,,,,,2,1,6.0,22.0,4.0,-2.0,25.0,7.0,-3.0,17.0
2024-08-13T20:00:29.352649Z,19,228518.0,Boom Boom Eagle FC,3320924.0,89.0,48142.0,8.0,Sam,Thorpe,10.0,,False,19,2,8,247,5,244.2,13,3,65.4,245.4,1067,0,0,0,0,0,164.0,1,14,2.12,1.27,3.39,12.85,2024-07-17T10:20:02.505561Z,,,209289,149,0,,,1,Emile,1.5,False,,,,,4.0,Smith Rowe,,a,60,Smith Rowe,99,34,52,43,92,58,70,45,,,,,,,,,,,3,9,11.0,89.0,38.0,27.0,1.0,16.0,22.0,1.0
,,,,,,,,,,,,,20,1,5,245,4,162.2,13,2,53.0,270.8,1197,0,0,0,0,0,94.0,2,13,1.19,0.93,2.12,12.43,2024-07-17T10:20:02.506466Z,100.0,100.0,167199,277,0,,,2,Thomas,3.6,False,,2024-11-30T22:00:07.258906Z,,,3.4,Partey,,a,47,Thomas,76,27,111,81,152,95,105,63,,,,,,,,,,,3,1,,,,,,36.0,,
,,,,,,,,,,,,,21,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.507607Z,100.0,100.0,192895,513,0,,,0,Kieran,0.0,False,,2024-08-12T14:30:04.394338Z,,,0.0,Tierney,,a,0,Tierney,554,213,542,212,514,202,556,213,,,,,,,,,,,2,1,,,,,,161.0,,
,,,,,,,,,,,,,22,0,0,2,0,0.3,0,0,1.0,0.4,6,0,0,0,0,0,9.0,0,0,0.18,0.00,0.18,0.04,2024-07-17T10:20:02.508589Z,0.0,0.0,223723,223,0,,,0,Tomiyasu,0.0,False,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,,,1.0,Takehiro,,i,1,Tomiyasu,466,162,437,156,347,118,446,154,,,,,,,,,,,2,1,,,,,,144.0,,
2024-08-13T20:02:59.481811Z,23,325685.0,TAA very much,3320931.0,96.0,48142.0,6.0,James,Mason,11.0,,False,23,2,5,176,3,200.0,11,3,68.7,211.8,838,0,0,0,1,0,277.0,0,10,2.50,0.90,3.40,6.80,2024-07-17T10:20:02.509693Z,100.0,100.0,116216,26,0,,,1,Leandro,3.6,False,,2024-11-21T08:30:08.540890Z,,,3.2,Trossard,,a,48,Trossard,133,47,75,59,39,24,60,38,,,,,,,,,,,3,1,19.0,96.0,39.0,20.0,3.0,32.0,7.0,6.0
2024-08-13T19:35:19.016731Z,24,228518.0,Boom Boom Eagle FC,3320855.0,20.0,48142.0,2.0,Sam,Thorpe,3.0,,False,24,1,0,112,3,55.3,7,0,21.3,128.4,694,0,0,0,0,0,29.0,2,7,0.13,0.32,0.45,9.87,2024-07-17T10:20:02.510778Z,0.0,0.0,198869,39,0,,,0,Benjamin,0.2,False,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,,,3.0,White,,i,27,White,227,86,250,67,283,88,269,87,,,,,,,,,,,2,1,27.0,20.0,3.0,-24.0,41.0,56.0,-53.0,35.0
2024-08-13T20:11:35.342262Z,25,325685.0,TAA very much,3320956.0,121.0,48142.0,4.0,James,Mason,14.0,,False,25,0,0,60,2,23.2,0,0,6.7,22.2,234,0,0,0,0,0,21.0,1,2,0.06,0.08,0.14,1.73,2024-07-17T10:20:02.511975Z,75.0,100.0,206325,201,0,,,0,Oleksandr,1.4,False,Knock - 75% chance of playing,2024-12-09T09:30:06.099861Z,,,2.5,Zinchenko,,d,15,Zinchenko,388,136,319,103,298,95,371,121,,,,,,,,,,,2,1,37.0,121.0,39.0,2.0,19.0,86.0,-47.0,31.0
,,,,,,,,,,,,,26,1,1,107,3,78.6,13,0,26.0,156.6,787,0,0,0,0,0,25.0,2,10,0.17,0.81,0.98,10.56,2024-07-17T10:20:02.513274Z,0.0,,106468,425,0,,,0,Álex,0.8,False,Ineligible to face his parent club on 14/12. - Expected back 21 Dec,2024-12-07T21:30:07.580389Z,,,2.7,Moreno Lopera,,n,30,Alex Moreno,192,75,201,50,286,89,247,79,,,,,,,,,,,2,16,,,,,,49.0,,
,,,,,,,,,,,,,27,0,4,90,1,38.9,17,2,38.8,90.2,836,0,1,0,0,0,258.0,0,9,4.35,0.37,4.72,22.34,2024-07-17T10:20:02.514545Z,,,433979,210,0,,,2,Cameron,1.8,False,,,,,2.3,Archer,,a,34,Archer,277,25,285,32,45,18,172,24,,,,,,,,,,,4,17,,,,,,23.0,,
2024-08-13T19:45:14.484914Z,28,324701.0,Eleven Hags,3320882.0,47.0,48142.0,2.0,Liam,Thaker,6.0,,False,28,2,0,90,1,153.8,12,0,35.7,66.8,727,0,0,0,0,0,138.0,2,10,0.58,2.33,2.91,8.93,2024-07-17T10:20:02.515695Z,25.0,100.0,215711,46,0,,,1,Leon,1.5,False,Hamstring injury - 25% chance of playing,2024-12-09T09:30:06.119495Z,,,1.9,Bailey,,d,27,Bailey,313,148,119,86,107,68,188,100,,,,,,,,,,,3,2,36.0,47.0,21.0,-15.0,38.0,91.0,-70.0,37.0
